id_cliente,nombre,apellido,sexo,correo,telefono,pais
266,Liva,Pelling,Masculino,lpelling7d@businessweek.com,592-339-6103,Colombia
267,Carrie,Headington,Otro,cheadington7e@tiny.cc,308-872-7211,Mexico
268,Tabbie,Lenton,Masculino,tlenton7f@privacy.gov.au,825-759-4203,Argentina
269,Andrea,Benedit,Masculino,abenedit7g@hatena.ne.jp,287-766-0396,Peru
270,Dougie,Rickeard,Masculino,drickeard7h@163.com,935-942-4847,Argentina
271,Phylis,Passler,Otro,ppassler7i@over-blog.com,893-273-5863,Peru
272,Gregor,Egiloff,Masculino,gegiloff7j@house.gov,542-720-8907,Argentina
273,Merrile,Rhydderch,Masculino,mrhydderch7k@bigcartel.com,990-438-8307,Venezuela
274,Bonni,Pemberton,Otro,bpemberton7l@uol.com.br,786-371-6461,Colombia
275,Gram,Brehat,Femenino,gbrehat7m@npr.org,842-157-4634,Colombia
276,Devin,Readwin,Femenino,dreadwin7n@globo.com,447-719-2219,Argentina
277,Charmane,Vasic,Otro,cvasic7o@disqus.com,455-766-2967,Argentina
278,Kelwin,Estable,Masculino,kestable7p@parallels.com,720-747-0946,Peru
279,Alix,Engeham,Masculino,aengeham7q@seattletimes.com,534-711-6880,Colombia
280,Arda,MacArdle,Masculino,amacardle7r@cbsnews.com,434-810-8732,Colombia
281,Joellen,Marple,Otro,jmarple7s@addtoany.com,148-908-2481,Argentina
282,Kathye,Medland,Masculino,kmedland7t@fc2.com,696-515-7504,Colombia
283,Oren,Shelford,Masculino,oshelford7u@pbs.org,786-872-0796,Peru
284,Tyrone,Simmings,Masculino,tsimmings7v@dropbox.com,989-353-4543,Mexico
285,Bartlet,Sparshott,Femenino,bsparshott7w@umn.edu,780-803-8180,Peru
286,Juliet,Erat,Masculino,jerat7x@ocn.ne.jp,138-388-9721,Mexico
287,Adam,Callar,Otro,acallar7y@wordpress.com,803-502-9628,Venezuela
288,Essy,Amy,Femenino,eamy7z@chron.com,538-353-5027,Mexico
289,Margi,Phillcox,Masculino,mphillcox80@alexa.com,585-845-7950,Colombia
290,Finlay,Mitkcov,Masculino,fmitkcov81@people.com.cn,440-824-3247,Peru
291,Joell,Goodyer,Otro,jgoodyer82@eepurl.com,283-589-0368,Argentina
292,Heinrik,Bolsteridge,Masculino,hbolsteridge83@marketwatch.com,616-419-7121,Argentina
293,Courtney,Han,Otro,chan84@noaa.gov,630-257-7678,Colombia
294,Adrienne,Jakucewicz,Masculino,ajakucewicz85@examiner.com,281-422-9905,Peru
295,Tremaine,Abbado,Femenino,tabbado86@dell.com,244-663-4017,Chile
296,Flynn,Mawditt,Otro,fmawditt87@soup.io,882-470-9187,Chile
297,Brand,Southwood,Masculino,bsouthwood88@godaddy.com,578-876-7500,Argentina
298,Kristo,Klein,Masculino,kklein89@gravatar.com,847-810-8034,Mexico
299,Tabatha,Zanneli,Otro,tzanneli8a@msn.com,245-761-0505,Peru
300,Hervey,McQuillin,Masculino,hmcquillin8b@pcworld.com,817-303-8417,Argentina
301,Lucy,Pinckney,Masculino,lpinckney8c@marriott.com,415-154-7088,Peru
302,Brigg,Braidon,Otro,bbraidon8d@washingtonpost.com,893-191-1822,Peru
303,Lynsey,Tyler,Masculino,ltyler8e@tiny.cc,673-643-9462,Colombia
304,Ezra,Fackney,Otro,efackney8f@angelfire.com,822-127-5169,Colombia
305,Nickolai,Rollinshaw,Otro,nrollinshaw8g@typepad.com,854-262-7208,Peru
306,Kirby,Casement,Otro,kcasement8h@ycombinator.com,243-469-3149,Mexico
307,Lemar,Barizeret,Femenino,lbarizeret8i@narod.ru,846-260-2814,Mexico
308,Stephanie,Ruppel,Femenino,sruppel8j@aol.com,946-588-4299,Peru
309,Aubrie,Cargen,Femenino,acargen8k@taobao.com,493-629-6083,Mexico
310,Ronda,Castledine,Masculino,rcastledine8l@creativecommons.org,730-896-2104,Colombia
311,Leicester,Madner,Otro,lmadner8m@fda.gov,436-554-9257,Chile
312,Joyce,Andrin,Femenino,jandrin8n@furl.net,146-348-8517,Colombia
313,Theodosia,Colliar,Masculino,tcolliar8o@oracle.com,305-202-6197,Venezuela
314,Marika,Dogg,Femenino,mdogg8p@qq.com,416-217-2299,Colombia
315,Darbee,Timoney,Masculino,dtimoney8q@last.fm,772-152-5206,Mexico
316,Gilligan,Rounsivall,Otro,grounsivall8r@geocities.jp,260-295-5212,Argentina
317,Tommy,Mielnik,Masculino,tmielnik8s@tamu.edu,394-833-8707,Peru
318,Lena,Brightwell,Otro,lbrightwell8t@lulu.com,672-663-4143,Argentina
319,Kariotta,Vasenin,Femenino,kvasenin8u@nationalgeographic.com,189-751-4106,Argentina
320,Ariel,Instone,Masculino,ainstone8v@newsvine.com,249-333-6382,Peru
321,Stanfield,Prinnett,Masculino,sprinnett8w@cnn.com,421-836-1065,Peru
322,Cobbie,Lydden,Otro,clydden8x@addtoany.com,175-623-8502,Mexico
323,Nadeen,Brimmacombe,Masculino,nbrimmacombe8y@google.com,735-320-4019,Colombia
324,Sheffy,Hickenbottom,Masculino,shickenbottom8z@1und1.de,879-408-9016,Mexico
325,Gaspard,Duffer,Femenino,gduffer90@networkadvertising.org,552-105-3593,Colombia
326,Nanon,Selcraig,Femenino,nselcraig91@google.it,399-799-5926,Peru
327,Elissa,Birchner,Femenino,ebirchner92@bbb.org,872-469-8664,Argentina
